Prize,Year,Winner,Citation,Wikipedia_URL,OpenAlex_URL,Subfield,Subfield_ID,Field,Domain,Verified,Corrected_OpenAlex_URL,Best_Subfield,Best_Subfield_ID,Best_Field,Verification_Notes,laureate_type,n_winners,plotFinestField
A. M. Turing Award,2015,Martin Hellman,For inventing asymmetric public-key cryptography and digital signatures,https://en.wikipedia.org/wiki/Martin_Hellman,https://openalex.org/authors/A5016990841,Computer Vision and Pattern Recognition,1707.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,Profile correct (Martin E. Hellman). Subfield changed from Computer Vision to Artificial Intelligence - most crypto topics map to AI in OpenAlex.,individual,1.0,"Computing, electrical"
A. M. Turing Award,2015,Whitfield Diffie,For inventing asymmetric public-key cryptography and digital signatures,https://en.wikipedia.org/wiki/Whitfield_Diffie,https://openalex.org/authors/A5055867345,Computer Vision and Pattern Recognition,1707.0,Computer Science,Physical Sciences,Yes,,Computer Networks and Communications,1705,Computer Science,Profile correct. Subfield changed from Computer Vision to Computer Networks and Communications - his top topic.,individual,1.0,"Computing, electrical"
A. M. Turing Award,2016,Tim Berners-Lee,For inventing the World Wide Web,https://en.wikipedia.org/wiki/Tim_Berners-Lee,https://openalex.org/authors/A5025908133,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,Profile correct. Subfield Artificial Intelligence is plausible (Semantic Web is his top topic in OpenAlex).,individual,1.0,"Computing, electrical"
A. M. Turing Award,2017,David Patterson,"For pioneering a systematic, quantitative approach to computer architecture design",https://en.wikipedia.org/wiki/David_Patterson,https://openalex.org/authors/A5101927146,Hardware and Architecture,1708.0,Computer Science,Physical Sciences,Yes,,Hardware and Architecture,1708,Computer Science,"Profile correct (David A. Patterson, Google/UC Berkeley). Hardware and Architecture correct.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2017,John Hennessy,"For pioneering a systematic, quantitative approach to computer architecture design",https://en.wikipedia.org/wiki/John_Hennessy,https://openalex.org/authors/A5022706180,Hardware and Architecture,1708.0,Computer Science,Physical Sciences,Yes,,Hardware and Architecture,1708,Computer Science,Profile correct (John L. Hennessy). Hardware and Architecture correct.,individual,1.0,"Computing, electrical"
A. M. Turing Award,2018,Geoffrey Hinton,For conceptual and engineering breakthroughs that made deep neural networks a critical component of computing,https://en.wikipedia.org/wiki/Geoffrey_Hinton,https://openalex.org/authors/A5108093963,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,"Profile correct (Geoffrey E. Hinton, U of Toronto). Artificial Intelligence correct.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2018,Yann LeCun,For conceptual and engineering breakthroughs that made deep neural networks a critical component of computing,https://en.wikipedia.org/wiki/Yann_LeCun,https://openalex.org/authors/A5001226970,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,"Profile correct (Yann LeCun, NYU/Courant). Artificial Intelligence correct.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2018,Yoshua Bengio,For conceptual and engineering breakthroughs that made deep neural networks a critical component of computing,https://en.wikipedia.org/wiki/Yoshua_Bengio,https://openalex.org/authors/A5086198262,Artificial Intelligence,1702.0,Computer Science,Physical Sciences,Yes,,Artificial Intelligence,1702,Computer Science,"Profile correct (Yoshua Bengio, Mila/U Montreal). Artificial Intelligence correct.",individual,1.0,"Computing, electrical"
A. M. Turing Award,2019,Edwin Catmull,For fundamental contributions to 3-D computer graphics,https://en.wikipedia.org/wiki/Edwin_Catmull,https://openalex.org/authors/A5071952193,Computer Graphics and Computer-Aided Design,1704.0,Computer Science,Physical Sciences,Yes,,Computer Graphics and Computer-Aided Design,1704,Computer Science,Profile correct (Edwin Catmull). Computer Graphics and Computer-Aided Design correct.,individual,1.0,"Computing, electrical"
A. M. Turing Award,2019,Patrick Hanrahan,For fundamental contributions to 3-D computer graphics,https://en.wikipedia.org/wiki/Patrick_Hanrahan,https://openalex.org/authors/A5111907242,Computer Graphics and Computer-Aided Design,1704.0,Computer Science,Physical Sciences,Yes,,Computer Graphics and Computer-Aided Design,1704,Computer Science,"Profile correct (Patrick Hanrahan, Stanford). Computer Graphics and Computer-Aided Design correct.",individual,1.0,"Computing, electrical"
