finest_group,funding_field
Mathematics,Math
Physics & Astronomy,Physical Sciences
Chemistry & Chemical Eng.,Physical Sciences
Geosciences,Physical Sciences
Climate & Ocean Sci.,Physical Sciences
Computer Science,CS & Engineering
Computer & Electrical Eng.,CS & Engineering
Mechanical & Aerospace Eng.,CS & Engineering
Civil & Env. Eng.,CS & Engineering
Biomedical Eng.,CS & Engineering
Other Engineering,CS & Engineering
Agriculture & Food Sci.,Ag. & natural resources
Environmental Science,Ag. & natural resources
Molecular Bio & Genetics,Life Sciences & Medicine
Microbiology & Immunology,Life Sciences & Medicine
Neuroscience,Life Sciences & Medicine
Medicine,Life Sciences & Medicine
Public Health,Life Sciences & Medicine
Dentistry & Allied Health,Life Sciences & Medicine
Ecology & Evolution,Life Sciences & Medicine
Psychology,Psychology
Economics,Business & Econ
Business,Business & Econ
Political Science & Sociology,Other Social Sciences
Anthropology,Other Social Sciences
Other Social Sci.,Other Social Sciences
