Winner,Wikipedia_URL,qid,birth_year
Martin Hellman,https://en.wikipedia.org/wiki/Martin_Hellman,Q476466,1945
Whitfield Diffie,https://en.wikipedia.org/wiki/Whitfield_Diffie,Q462089,1944
Tim Berners-Lee,https://en.wikipedia.org/wiki/Tim_Berners-Lee,Q80,1955
David Patterson,https://en.wikipedia.org/wiki/David_Patterson,Q5238445,
John Hennessy,https://en.wikipedia.org/wiki/John_Hennessy,Q6238672,
Geoffrey Hinton,https://en.wikipedia.org/wiki/Geoffrey_Hinton,Q92894,1947
Yann LeCun,https://en.wikipedia.org/wiki/Yann_LeCun,Q3571662,1959
Yoshua Bengio,https://en.wikipedia.org/wiki/Yoshua_Bengio,Q3572699,1964
Edwin Catmull,https://en.wikipedia.org/wiki/Edwin_Catmull,Q93161,1945
Patrick Hanrahan,https://en.wikipedia.org/wiki/Patrick_Hanrahan,Q7143512,1955
Alfred Aho,https://en.wikipedia.org/wiki/Alfred_Aho,Q62898,1941
Jeffrey Ullman,https://en.wikipedia.org/wiki/Jeffrey_Ullman,Q92794,1942
Jack Dongarra,https://en.wikipedia.org/wiki/Jack_Dongarra,Q92670,1950
Robert Metcalfe,https://en.wikipedia.org/wiki/Robert_Metcalfe,Q92766,1946
Avi Wigderson,https://en.wikipedia.org/wiki/Avi_Wigderson,Q92957,1956
Andrew Barto,https://en.wikipedia.org/wiki/Andrew_Barto,Q4756294,1948
Richard Sutton,https://en.wikipedia.org/wiki/Richard_Sutton,Q7329307,
John Nash,https://en.wikipedia.org/wiki/John_Forbes_Nash_Jr.,Q128736,1928
Louis Nirenberg,https://en.wikipedia.org/wiki/Louis_Nirenberg,Q596590,1925
Andrew Wiles,https://en.wikipedia.org/wiki/Andrew_Wiles,Q184433,1953
Yves Meyer,https://en.wikipedia.org/wiki/Yves_Meyer,Q574597,1939
Robert Langlands,https://en.wikipedia.org/wiki/Robert_Langlands,Q711278,1936
Karen Uhlenbeck,https://en.wikipedia.org/wiki/Karen_Uhlenbeck,Q38636,1942
Gregory Margulis,https://en.wikipedia.org/wiki/Gregory_Margulis,Q325705,1946
Hillel Furstenberg,https://en.wikipedia.org/wiki/Hillel_Furstenberg,Q556862,1935
Laszlo Lovasz,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Lov%C3%A1sz,Q357918,1948
Dennis Sullivan,https://en.wikipedia.org/wiki/Dennis_Sullivan,Q726376,1941
Luis Caffarelli,https://en.wikipedia.org/wiki/Luis_Caffarelli,Q1076636,1948
Michel Talagrand,https://en.wikipedia.org/wiki/Michel_Talagrand,Q951235,1952
Ewine Fleur van Dishoeck,https://en.wikipedia.org/wiki/Ewine_Fleur_van_Dishoeck,Q1879957,1955
Edward Witten,https://en.wikipedia.org/wiki/Edward_Witten,Q201513,1951
Omar M. Yaghi,https://en.wikipedia.org/wiki/Omar_M._Yaghi,Q743252,1965
Jean-Pierre Changeux,https://en.wikipedia.org/wiki/Jean-Pierre_Changeux,Q910163,1936
Zhong Lin Wang,https://en.wikipedia.org/wiki/Zhong_Lin_Wang,Q197808,1961
Victoria M. Kaspi,https://en.wikipedia.org/wiki/Victoria_M._Kaspi,Q7926813,1967
Christoph Gerber,https://en.wikipedia.org/wiki/Christoph_Gerber,Q122773,1942
Eske Willerslev,https://en.wikipedia.org/wiki/Eske_Willerslev,Q5398061,1971
Evelyn Witkin,https://en.wikipedia.org/wiki/Evelyn_M._Witkin,Q5416370,1921
Stephen Elledge,https://en.wikipedia.org/wiki/Stephen_J._Elledge,Q2344805,1956
Gregg Semenza,https://en.wikipedia.org/wiki/Gregg_Semenza,Q1545025,1956
Peter Ratcliffe,https://en.wikipedia.org/wiki/Peter_Ratcliffe,Q7176536,
William Kaelin Jr.,https://en.wikipedia.org/wiki/William_Kaelin_Jr.,Q1603351,1957
Michael Hall,https://en.wikipedia.org/wiki/Michael_N._Hall,Q1928689,1953
C. David Allis,https://en.wikipedia.org/wiki/C._David_Allis,Q1064064,1951
Michael Grunstein,https://en.wikipedia.org/wiki/Michael_Grunstein,Q31484,1946
Jacques Miller,https://en.wikipedia.org/wiki/Jacques_Miller,Q253133,1931
Max Cooper,https://en.wikipedia.org/wiki/Max_D._Cooper,Q1912385,1933
Dieter Oesterhelt,https://en.wikipedia.org/wiki/Dieter_Oesterhelt,Q1222570,1940
Karl Deisseroth,https://en.wikipedia.org/wiki/Karl_Deisseroth,Q935993,1971
Peter Hegemann,https://en.wikipedia.org/wiki/Peter_Hegemann,Q2075526,1954
Erkki Ruoslahti,https://en.wikipedia.org/wiki/Erkki_Ruoslahti,Q543772,1940
Richard Hynes,https://en.wikipedia.org/wiki/Richard_Hynes,Q2150305,1944
Timothy Springer,https://en.wikipedia.org/wiki/Timothy_Springer,Q1649143,1948
Demis Hassabis,https://en.wikipedia.org/wiki/Demis_Hassabis,Q3022141,1976
John Jumper,https://en.wikipedia.org/wiki/John_Jumper,Q111109468,
Zhijian Chen,https://en.wikipedia.org/wiki/Zhijian_%22James%22_Chen,,
Susan Solomon,https://en.wikipedia.org/wiki/Susan_Solomon,Q445519,1956
Linda T. Elkins-Tanton,https://en.wikipedia.org/wiki/Linda_T._Elkins-Tanton,Q17916881,1965
Jerry X. Mitrovica,https://en.wikipedia.org/wiki/Jerry_X._Mitrovica,Q68572471,1960
David Karl,https://en.wikipedia.org/wiki/David_Karl,Q30171734,1950
Francis Halzen,https://en.wikipedia.org/wiki/Francis_Halzen,Q20942818,1944
Hans Belting,https://en.wikipedia.org/wiki/Hans_Belting,Q66209,1935
Joel Mokyr,https://en.wikipedia.org/wiki/Joel_Mokyr,Q2899100,1946
Federico Capasso,https://en.wikipedia.org/wiki/Federico_Capasso,Q764570,1949
Peter Brown,https://en.wikipedia.org/wiki/Peter_Brown,Q400589,
Reinhard Jahn,https://en.wikipedia.org/wiki/Reinhard_Jahn,Q2140756,1950
Robert O. Keohane,https://en.wikipedia.org/wiki/Robert_O._Keohane,Q544500,1941
Aleida Assmann,https://en.wikipedia.org/wiki/Aleida_Assmann,Q111115,1947
Bina Agarwal,https://en.wikipedia.org/wiki/Bina_Agarwal,Q4913801,1951
James P. Allison,https://en.wikipedia.org/wiki/James_P._Allison,Q6140731,1948
Jan Assmann,https://en.wikipedia.org/wiki/Jan_Assmann,Q61247,1938
Michaell Gillon,https://en.wikipedia.org/wiki/Micha%C3%ABl_Gillon,Q19956033,1974
Robert D. Schreiber,https://en.wikipedia.org/wiki/Robert_D._Schreiber,Q7343346,1946
Detlef Lohse,https://en.wikipedia.org/wiki/Detlef_Lohse,Q1201308,1963
Eva Kondorosi,https://en.wikipedia.org/wiki/%C3%89va_Kondorosi,Q20480588,1948
Jurgen Osterhammel,https://en.wikipedia.org/wiki/J%C3%BCrgen_Osterhammel,Q92287,1952
Marilyn Strathern,https://en.wikipedia.org/wiki/Marilyn_Strathern,Q435411,1941
Erika von Mutius,https://en.wikipedia.org/wiki/Erika_von_Mutius,Q6524522,1957
Jacques Aumont,https://en.wikipedia.org/wiki/Jacques_Aumont,Q3158167,1942
Klaus F. Rabe,https://en.wikipedia.org/wiki/Klaus_F._Rabe,,
Luigi Ambrosio,https://en.wikipedia.org/wiki/Luigi_Ambrosio,Q967417,1963
Michael Cook,https://en.wikipedia.org/wiki/Michael_Cook,Q3856142,
Tobias Welte,https://en.wikipedia.org/wiki/Tobias_Welte,,
Werner Seeger,https://en.wikipedia.org/wiki/Werner_Seeger,,
Antonio Augusto Cancado Trindade,https://en.wikipedia.org/wiki/Ant%C3%B4nio_Augusto_Can%C3%A7ado_Trindade,Q611793,1947
Jean-Marie Tarascon,https://en.wikipedia.org/wiki/Jean-Marie_Tarascon,Q18646210,1953
Joan Martinez-Alier,https://en.wikipedia.org/wiki/Joan_Martinez-Alier,Q1999236,1939
Susan Trumbore,https://en.wikipedia.org/wiki/Susan_Trumbore,Q51652087,1959
Alessandra Buonanno,https://en.wikipedia.org/wiki/Alessandra_Buonanno,Q4716267,1968
Giorgio Buccellati,https://en.wikipedia.org/wiki/Giorgio_Buccellati,Q5563461,1937
Jeffrey Gordon,https://en.wikipedia.org/wiki/Jeffrey_Gordon,Q6176010,
Marilyn Kelly-Buccellati,https://en.wikipedia.org/wiki/Marilyn_Kelly-Buccellati,Q105504188,
Saul Friedlander,https://en.wikipedia.org/wiki/Saul_Friedl%C3%A4nder,Q699701,1932
Thibault Damour,https://en.wikipedia.org/wiki/Thibault_Damour,Q1303301,1951
Dorthe Dahl-Jensen,https://en.wikipedia.org/wiki/Dorthe_Dahl-Jensen,Q19667187,1958
Johannes Oerlemans,https://en.wikipedia.org/wiki/Johannes_Oerlemans,,
Martha C. Nussbaum,https://en.wikipedia.org/wiki/Martha_C._Nussbaum,Q235470,1947
Philip Bohlman,https://en.wikipedia.org/wiki/Philip_Bohlman,Q3333795,1952
Robert Langer,https://en.wikipedia.org/wiki/Robert_Langer,Q669597,1948
David Damrosch,https://en.wikipedia.org/wiki/David_Damrosch,Q15918004,1953
Heino Falcke,https://en.wikipedia.org/wiki/Heino_Falcke,Q2715077,1966
Jean-Jacques Hublin,https://en.wikipedia.org/wiki/Jean-Jacques_Hublin,Q1684915,1953
John Braithwaite,https://en.wikipedia.org/wiki/John_Braithwaite,Q1699394,
Lorraine Daston,https://en.wikipedia.org/wiki/Lorraine_Daston,Q529094,1951
Michael N. Hall,https://en.wikipedia.org/wiki/Michael_N._Hall,Q1928689,1953
Omar Yaghi,https://en.wikipedia.org/wiki/Omar_Yaghi,Q743252,1965
Stephen J. Lippard,https://en.wikipedia.org/wiki/Stephen_J._Lippard,Q557509,1940
Krzysztof Matyjaszewski,https://en.wikipedia.org/wiki/Krzysztof_Matyjaszewski,Q902463,1950
Mitsuo Sawamoto,https://en.wikipedia.org/wiki/Mitsuo_Sawamoto,Q15867338,1951
Michele Parrinello,https://en.wikipedia.org/wiki/Michele_Parrinello,Q479473,1945
Roberto Car,https://en.wikipedia.org/wiki/Roberto_Car,Q1526025,1947
Carol V. Robinson,https://en.wikipedia.org/wiki/Carol_V._Robinson,Q56190,1956
Richard N. Zare,https://en.wikipedia.org/wiki/Richard_N._Zare,Q900837,1939
Paula T. Hammond,https://en.wikipedia.org/wiki/Paula_T._Hammond,Q16195100,1963
Roger F. Harrington,https://en.wikipedia.org/wiki/Roger_F._Harrington,Q96077038,1925
Solomon W. Golomb,https://en.wikipedia.org/wiki/Solomon_W._Golomb,Q1398547,1932
Nick Holonyak Jr.,https://en.wikipedia.org/wiki/Nick_Holonyak_Jr.,Q360445,1928
Manijeh Razeghi,https://en.wikipedia.org/wiki/Manijeh_Razeghi,Q19629541,
Eli Yablonovitch,https://en.wikipedia.org/wiki/Eli_Yablonovitch,Q347721,1946
Kunihiko Fukushima,https://en.wikipedia.org/wiki/Kunihiko_Fukushima,Q61904879,1936
P. Daniel Dapkus,https://en.wikipedia.org/wiki/P._Daniel_Dapkus,,
Russell D. Dupuis,https://en.wikipedia.org/wiki/Russell_D._Dupuis,Q7381274,1947
Nader Engheta,https://en.wikipedia.org/wiki/Nader_Engheta,Q6957556,1955
Robert M. Metcalfe,https://en.wikipedia.org/wiki/Robert_M._Metcalfe,Q92766,1946
Cori Bargmann,https://en.wikipedia.org/wiki/Cori_Bargmann,Q5042508,1961
Robert S. Langer,https://en.wikipedia.org/wiki/Robert_S._Langer,Q669597,1948
Douglas C. Wallace,https://en.wikipedia.org/wiki/Douglas_C._Wallace,Q1252080,1946
Joanne Chory,https://en.wikipedia.org/wiki/Joanne_Chory,Q15994359,1955
Mildred S. Dresselhaus,https://en.wikipedia.org/wiki/Mildred_Dresselhaus,Q29573,1930
John A. Rogers,https://en.wikipedia.org/wiki/John_A._Rogers,Q1693813,1967
Shu Chien,https://en.wikipedia.org/wiki/Shu_Chien,Q7504410,1931
Mildred Dresselhaus,https://en.wikipedia.org/wiki/Mildred_Dresselhaus,Q29573,1930
Adrian Bejan,https://en.wikipedia.org/wiki/Adrian_Bejan,Q2825021,1948
Sheldon Weinbaum,https://en.wikipedia.org/wiki/Sheldon_Weinbaum,Q15995577,1937
Mary Boyce,https://en.wikipedia.org/wiki/Mary_Cunningham_Boyce,Q18389197,
Jeffrey Sachs,https://en.wikipedia.org/wiki/Jeffrey_Sachs,Q319189,1954
Partha Dasgupta,https://en.wikipedia.org/wiki/Partha_Dasgupta,Q965646,1942
Markus Borner,https://en.wikipedia.org/wiki/Markus_Borner,Q82296911,1945
Pavan Sukhdev,https://en.wikipedia.org/wiki/Pavan_Sukhdev,Q16254734,1960
Gretchen C. Daily,https://en.wikipedia.org/wiki/Gretchen_C._Daily,Q5218635,1964
Hans Joachim Schellnhuber,https://en.wikipedia.org/wiki/Hans_Joachim_Schellnhuber,Q74301,1950
Brian Walker,https://en.wikipedia.org/wiki/Brian_Walker,Q4965553,
Malin Falkenmark,https://en.wikipedia.org/wiki/Malin_Falkenmark,Q19976700,1925
Eric Lambin,https://en.wikipedia.org/wiki/Eric_Lambin,Q3591210,1962
Jared Diamond,https://en.wikipedia.org/wiki/Jared_Diamond,Q205772,1937
David Tilman,https://en.wikipedia.org/wiki/David_Tilman,Q1176859,1949
Simon Stuart,https://en.wikipedia.org/wiki/Simon_Stuart,Q110234891,
Mohan Munasinghe,https://en.wikipedia.org/wiki/Mohan_Munasinghe,Q6893558,1945
Veerabhadran Ramanathan,https://en.wikipedia.org/wiki/Veerabhadran_Ramanathan,Q670496,1944
Jigme Singye Wangchuck,https://en.wikipedia.org/wiki/Jigme_Singye_Wangchuck,Q200273,1955
Stephen Carpenter,https://en.wikipedia.org/wiki/Stephen_Carpenter,Q291115,
Debarati Guha-Sapir,https://en.wikipedia.org/wiki/Debarati_Guha-Sapir,Q58494445,
Penelope Lindeque,https://en.wikipedia.org/wiki/Penelope_Lindeque,,
Richard Thompson,https://en.wikipedia.org/wiki/Richard_Thompson,Q9054,
Tamara Galloway,https://en.wikipedia.org/wiki/Tamara_Galloway,Q54627836,1963
Robert Costanza,https://en.wikipedia.org/wiki/Robert_Costanza,Q59743,1950
Jean-Pierre Kruth,https://en.wikipedia.org/wiki/Jean-Pierre_Kruth,,
Claude Lorius,https://en.wikipedia.org/wiki/Claude_Lorius,Q327707,1932
Philippe Horvath,https://en.wikipedia.org/wiki/Philippe_Horvath,Q21887250,1970
Frances H. Arnold,https://en.wikipedia.org/wiki/Frances_Arnold,Q4273363,1956
Paul Slovic,https://en.wikipedia.org/wiki/Paul_Slovic,Q2062481,1938
Deb Niemeier,https://en.wikipedia.org/wiki/Debbie_Niemeier,,
David A. Weitz,https://en.wikipedia.org/wiki/David_A._Weitz,Q5230545,1951
Arthur Konnerth,https://en.wikipedia.org/wiki/Arthur_Konnerth,Q15452516,1953
David W. Tank,https://en.wikipedia.org/wiki/David_W._Tank,Q15432705,1953
Karel Svoboda,https://en.wikipedia.org/wiki/Karel_Svoboda,Q12028548,
