field,pay_group
Agriculture & Food Sci.,Agriculture & Environmental Sci.
Environmental Science,Agriculture & Environmental Sci.
Molecular Bio & Genetics,Other Biological & Health Sci.
Neuroscience,Other Biological & Health Sci.
Ecology & Evolution,Other Biological & Health Sci.
Medicine,Other Biological & Health Sci.
Public Health,Other Biological & Health Sci.
Microbiology & Immunology,Microbiology & Immunology
Computer Science,Computer Science
Mathematics,Mathematics
Physics & Astronomy,Physics & Astronomy
Chemistry & Chemical Eng.,Chemistry & Chemical Eng.
Geosciences,Earth & Ocean Sci.
Climate & Ocean Sci.,Earth & Ocean Sci.
Psychology,Psychology
Economics,Economics
Political Science & Sociology,Political Science & Sociology
Anthropology,Anthropology & Other Social Sci.
Other Social Sci.,Anthropology & Other Social Sci.
Mechanical & Aerospace Eng.,Mechanical & Aerospace Eng.
Civil & Env. Eng.,Civil & Env. Eng.
Computer & Electrical Eng.,Computer & Electrical Eng.
Biomedical Eng.,Biomedical & Other Eng.
Other Engineering,Biomedical & Other Eng.
