NSDRMENTOD,sdr_field,pay_group
11,Agricultural and Food Sciences,Agriculture & Environmental Sci.
12,Biochemistry and Biophysics,Other Biological & Health Sci.
13,"Cell, Cellular Biology, and Molecular Biology",Other Biological & Health Sci.
14,Microbiological Sciences and Immunology,Microbiology & Immunology
15,Natural Resources and Conservation,Agriculture & Environmental Sci.
16,Zoology,Other Biological & Health Sci.
17,Other Biological Sciences,Other Biological & Health Sci.
21,Computer and Information Sciences,Computer Science
31,Mathematics and Statistics,Mathematics
41,Astronomy and Astrophysics,Physics & Astronomy
42,"Chemistry, except Biochemistry",Chemistry & Chemical Eng.
43,"Geosciences, Atmospheric, and Ocean Sciences",Earth & Ocean Sci.
44,Physics,Physics & Astronomy
51,Psychology,Psychology
61,Economics,Economics
62,Political Science and Government,Political Science & Sociology
63,"Sociology, Demography, and Population Studies",Political Science & Sociology
64,Other Social Sciences,Anthropology & Other Social Sci.
71,"Aerospace, Aeronautical, and Astronautical Engineering",Mechanical & Aerospace Eng.
72,Chemical Engineering,Chemistry & Chemical Eng.
73,Civil Engineering,Civil & Env. Eng.
74,Electrical and Computer Engineering,Computer & Electrical Eng.
75,Mechanical Engineering,Mechanical & Aerospace Eng.
76,Metallurgical and Materials Engineering,Chemistry & Chemical Eng.
77,Other Engineering,Biomedical & Other Eng.
81,Health,Other Biological & Health Sci.
