subfield_id,year,is_article,cite_bucket,n_works,n_cited_any,n_cited_c4,n_cited_c7,n_cited_c10,n_front_c4,n_app_c4,sum_pat_c4,sum_pat_c7
-1,1900,0,0,49833,0,0,0,0,0,0,0,0
-1,1900,0,1,118,0,0,0,0,0,0,0,0
-1,1900,0,10,9,0,0,0,0,0,0,0,0
-1,1900,0,50,1,0,0,0,0,0,0,0,0
-1,1900,1,0,7387,18,18,5,0,11,18,150,15
-1,1900,1,1,152,1,1,0,0,1,1,4,0
-1,1900,1,10,3,0,0,0,0,0,0,0,0
-1,1901,0,0,33538,0,0,0,0,0,0,0,0
-1,1901,0,1,117,0,0,0,0,0,0,0,0
-1,1901,0,10,8,0,0,0,0,0,0,0,0
-1,1901,1,0,6707,16,16,9,0,9,16,131,33
-1,1901,1,1,195,6,6,5,0,3,6,53,15
-1,1901,1,10,3,0,0,0,0,0,0,0,0
-1,1901,1,50,1,0,0,0,0,0,0,0,0
-1,1902,0,0,33553,0,0,0,0,0,0,0,0
-1,1902,0,1,132,0,0,0,0,0,0,0,0
-1,1902,0,10,6,1,1,0,0,1,1,9,0
-1,1902,1,0,7049,4,4,1,0,3,4,11,1
-1,1902,1,1,191,0,0,0,0,0,0,0,0
-1,1902,1,10,7,0,0,0,0,0,0,0,0
-1,1903,0,0,31928,0,0,0,0,0,0,0,0
-1,1903,0,1,116,0,0,0,0,0,0,0,0
-1,1903,0,10,4,0,0,0,0,0,0,0,0
-1,1903,0,50,3,0,0,0,0,0,0,0,0
-1,1903,1,0,7295,14,14,4,0,5,14,37,5
-1,1903,1,1,195,1,1,0,0,0,1,1,0
-1,1903,1,10,4,0,0,0,0,0,0,0,0
-1,1904,0,0,34914,0,0,0,0,0,0,0,0
-1,1904,0,1,123,0,0,0,0,0,0,0,0
-1,1904,0,10,2,0,0,0,0,0,0,0,0
-1,1904,0,50,1,0,0,0,0,0,0,0,0
-1,1904,1,0,7542,13,13,5,0,7,13,26,7
-1,1904,1,1,178,7,7,3,0,6,7,11,3
-1,1904,1,10,4,0,0,0,0,0,0,0,0
-1,1904,1,50,1,0,0,0,0,0,0,0,0
-1,1905,0,0,45860,0,0,0,0,0,0,0,0
-1,1905,0,1,144,0,0,0,0,0,0,0,0
-1,1905,0,10,7,0,0,0,0,0,0,0,0
-1,1905,1,0,7555,4,4,1,0,1,4,14,6
-1,1905,1,1,185,2,2,1,0,1,2,2,1
-1,1905,1,10,2,0,0,0,0,0,0,0,0
-1,1905,1,50,1,0,0,0,0,0,0,0,0
-1,1906,0,0,36313,0,0,0,0,0,0,0,0
-1,1906,0,1,139,0,0,0,0,0,0,0,0
-1,1906,0,10,7,0,0,0,0,0,0,0,0
-1,1906,1,0,7625,6,6,0,0,5,6,25,0
-1,1906,1,1,206,1,1,0,0,0,1,12,0
-1,1906,1,10,3,0,0,0,0,0,0,0,0
-1,1906,1,50,2,0,0,0,0,0,0,0,0
-1,1907,0,0,37190,0,0,0,0,0,0,0,0
-1,1907,0,1,122,0,0,0,0,0,0,0,0
-1,1907,0,10,4,0,0,0,0,0,0,0,0
-1,1907,1,0,8096,7,7,1,0,5,7,12,2
-1,1907,1,1,207,1,1,0,0,1,1,5,0
-1,1907,1,10,1,0,0,0,0,0,0,0,0
-1,1908,0,0,40860,1,1,1,0,1,1,192,192
-1,1908,0,1,126,1,1,0,0,0,1,1,0
-1,1908,0,10,7,0,0,0,0,0,0,0,0
-1,1908,0,50,1,0,0,0,0,0,0,0,0
-1,1908,1,0,7630,3,3,2,0,2,3,7,3
-1,1908,1,1,217,2,2,1,0,0,2,2,1
-1,1908,1,10,4,0,0,0,0,0,0,0,0
-1,1909,0,0,43699,0,0,0,0,0,0,0,0
-1,1909,0,1,155,0,0,0,0,0,0,0,0
-1,1909,0,10,10,0,0,0,0,0,0,0,0
-1,1909,1,0,7865,10,10,1,0,6,10,21,1
-1,1909,1,1,265,1,1,0,0,0,1,2,0
-1,1909,1,10,4,0,0,0,0,0,0,0,0
-1,1909,1,50,1,0,0,0,0,0,0,0,0
-1,1910,0,0,51703,1,1,1,0,1,1,1,1
-1,1910,0,1,123,0,0,0,0,0,0,0,0
-1,1910,0,10,4,0,0,0,0,0,0,0,0
-1,1910,0,50,1,0,0,0,0,0,0,0,0
-1,1910,1,0,8720,2,2,0,0,1,2,7,0
-1,1910,1,1,238,3,3,2,0,0,3,3,2
-1,1910,1,10,4,1,1,1,1,0,1,2,2
-1,1910,1,50,2,0,0,0,0,0,0,0,0
-1,1911,0,0,43349,0,0,0,0,0,0,0,0
-1,1911,0,1,173,0,0,0,0,0,0,0,0
-1,1911,0,10,8,0,0,0,0,0,0,0,0
-1,1911,1,0,8418,7,7,4,0,3,7,22,7
-1,1911,1,1,217,6,6,3,0,3,6,12,7
-1,1911,1,10,4,0,0,0,0,0,0,0,0
-1,1912,0,0,46565,0,0,0,0,0,0,0,0
-1,1912,0,1,139,0,0,0,0,0,0,0,0
-1,1912,0,10,10,0,0,0,0,0,0,0,0
-1,1912,1,0,8344,3,3,1,0,1,3,3,1
-1,1912,1,1,263,2,2,2,0,1,2,6,5
-1,1912,1,10,4,0,0,0,0,0,0,0,0
-1,1913,0,0,49542,0,0,0,0,0,0,0,0
-1,1913,0,1,141,0,0,0,0,0,0,0,0
-1,1913,0,10,8,0,0,0,0,0,0,0,0
-1,1913,1,0,8185,4,4,1,0,2,4,9,1
-1,1913,1,1,280,4,4,0,0,2,4,37,0
-1,1913,1,10,9,0,0,0,0,0,0,0,0
-1,1914,0,0,50532,1,1,0,0,0,1,1,0
-1,1914,0,1,164,0,0,0,0,0,0,0,0
-1,1914,0,10,6,0,0,0,0,0,0,0,0
-1,1914,0,50,3,0,0,0,0,0,0,0,0
-1,1914,1,0,8930,7,7,2,0,4,7,37,6
-1,1914,1,1,233,4,4,2,0,1,4,11,3
-1,1914,1,10,5,0,0,0,0,0,0,0,0
-1,1914,1,50,1,0,0,0,0,0,0,0,0
-1,1915,0,0,49099,0,0,0,0,0,0,0,0
-1,1915,0,1,112,0,0,0,0,0,0,0,0
-1,1915,0,10,6,0,0,0,0,0,0,0,0
-1,1915,0,50,2,0,0,0,0,0,0,0,0
-1,1915,1,0,8265,6,6,4,0,2,6,12,6
-1,1915,1,1,249,3,3,1,0,2,3,7,1
-1,1915,1,10,6,1,1,0,0,1,1,14,0
-1,1916,0,0,48823,0,0,0,0,0,0,0,0
-1,1916,0,1,98,0,0,0,0,0,0,0,0
-1,1916,0,10,10,0,0,0,0,0,0,0,0
