field,country,year,n_authors
Agricultural and Biological Sciences,AE,2015,1
Agricultural and Biological Sciences,AE,2016,1
Agricultural and Biological Sciences,AE,2017,2
Agricultural and Biological Sciences,AE,2018,2
Agricultural and Biological Sciences,AE,2019,2
Agricultural and Biological Sciences,AE,2020,2
Agricultural and Biological Sciences,AE,2021,2
Agricultural and Biological Sciences,AE,2022,2
Agricultural and Biological Sciences,AE,2023,3
Agricultural and Biological Sciences,AE,2024,3
Agricultural and Biological Sciences,AM,2015,1
Agricultural and Biological Sciences,AM,2016,1
Agricultural and Biological Sciences,AM,2017,1
Agricultural and Biological Sciences,AM,2018,1
Agricultural and Biological Sciences,AM,2019,1
Agricultural and Biological Sciences,AM,2020,1
Agricultural and Biological Sciences,AM,2021,1
Agricultural and Biological Sciences,AM,2022,1
Agricultural and Biological Sciences,AR,2015,13
Agricultural and Biological Sciences,AR,2016,14
Agricultural and Biological Sciences,AR,2017,14
Agricultural and Biological Sciences,AR,2018,15
Agricultural and Biological Sciences,AR,2019,15
Agricultural and Biological Sciences,AR,2020,16
Agricultural and Biological Sciences,AR,2021,16
Agricultural and Biological Sciences,AR,2022,16
Agricultural and Biological Sciences,AR,2023,16
Agricultural and Biological Sciences,AR,2024,16
Agricultural and Biological Sciences,AT,2015,29
Agricultural and Biological Sciences,AT,2016,32
Agricultural and Biological Sciences,AT,2017,34
Agricultural and Biological Sciences,AT,2018,33
Agricultural and Biological Sciences,AT,2019,33
Agricultural and Biological Sciences,AT,2020,35
Agricultural and Biological Sciences,AT,2021,36
Agricultural and Biological Sciences,AT,2022,36
Agricultural and Biological Sciences,AT,2023,35
Agricultural and Biological Sciences,AT,2024,35
Agricultural and Biological Sciences,AU,2015,278
Agricultural and Biological Sciences,AU,2016,276
Agricultural and Biological Sciences,AU,2017,271
Agricultural and Biological Sciences,AU,2018,272
Agricultural and Biological Sciences,AU,2019,277
Agricultural and Biological Sciences,AU,2020,276
Agricultural and Biological Sciences,AU,2021,271
Agricultural and Biological Sciences,AU,2022,257
Agricultural and Biological Sciences,AU,2023,259
Agricultural and Biological Sciences,AU,2024,257
Agricultural and Biological Sciences,AZ,2023,1
Agricultural and Biological Sciences,AZ,2024,1
Agricultural and Biological Sciences,BD,2020,2
Agricultural and Biological Sciences,BD,2021,2
Agricultural and Biological Sciences,BD,2022,3
Agricultural and Biological Sciences,BD,2023,3
Agricultural and Biological Sciences,BD,2024,3
Agricultural and Biological Sciences,BE,2015,87
Agricultural and Biological Sciences,BE,2016,89
Agricultural and Biological Sciences,BE,2017,92
Agricultural and Biological Sciences,BE,2018,102
Agricultural and Biological Sciences,BE,2019,104
Agricultural and Biological Sciences,BE,2020,107
Agricultural and Biological Sciences,BE,2021,110
Agricultural and Biological Sciences,BE,2022,114
Agricultural and Biological Sciences,BE,2023,112
Agricultural and Biological Sciences,BE,2024,109
Agricultural and Biological Sciences,BG,2015,1
Agricultural and Biological Sciences,BG,2016,2
Agricultural and Biological Sciences,BG,2017,2
Agricultural and Biological Sciences,BG,2018,3
Agricultural and Biological Sciences,BG,2019,4
Agricultural and Biological Sciences,BG,2020,5
Agricultural and Biological Sciences,BG,2021,6
Agricultural and Biological Sciences,BG,2022,6
Agricultural and Biological Sciences,BG,2023,6
Agricultural and Biological Sciences,BG,2024,7
Agricultural and Biological Sciences,BI,2023,1
Agricultural and Biological Sciences,BI,2024,1
Agricultural and Biological Sciences,BO,2018,1
Agricultural and Biological Sciences,BO,2019,1
Agricultural and Biological Sciences,BO,2020,1
Agricultural and Biological Sciences,BO,2021,1
Agricultural and Biological Sciences,BO,2022,1
Agricultural and Biological Sciences,BO,2023,1
Agricultural and Biological Sciences,BO,2024,2
Agricultural and Biological Sciences,BR,2015,23
Agricultural and Biological Sciences,BR,2016,24
Agricultural and Biological Sciences,BR,2017,28
Agricultural and Biological Sciences,BR,2018,29
Agricultural and Biological Sciences,BR,2019,29
Agricultural and Biological Sciences,BR,2020,39
Agricultural and Biological Sciences,BR,2021,52
Agricultural and Biological Sciences,BR,2022,58
Agricultural and Biological Sciences,BR,2023,66
Agricultural and Biological Sciences,BR,2024,73
Agricultural and Biological Sciences,BY,2015,2
Agricultural and Biological Sciences,BY,2016,2
Agricultural and Biological Sciences,BY,2017,2
Agricultural and Biological Sciences,BY,2018,2
Agricultural and Biological Sciences,BY,2019,2
Agricultural and Biological Sciences,BY,2020,2
Agricultural and Biological Sciences,BY,2021,3
Agricultural and Biological Sciences,BY,2022,3
Agricultural and Biological Sciences,BY,2023,3
Agricultural and Biological Sciences,BY,2024,4
Agricultural and Biological Sciences,CA,2015,242
Agricultural and Biological Sciences,CA,2016,243
Agricultural and Biological Sciences,CA,2017,246
Agricultural and Biological Sciences,CA,2018,243
Agricultural and Biological Sciences,CA,2019,239
Agricultural and Biological Sciences,CA,2020,230
Agricultural and Biological Sciences,CA,2021,228
Agricultural and Biological Sciences,CA,2022,215
Agricultural and Biological Sciences,CA,2023,210
Agricultural and Biological Sciences,CA,2024,199
Agricultural and Biological Sciences,CH,2015,94
Agricultural and Biological Sciences,CH,2016,95
Agricultural and Biological Sciences,CH,2017,97
Agricultural and Biological Sciences,CH,2018,99
Agricultural and Biological Sciences,CH,2019,103
Agricultural and Biological Sciences,CH,2020,103
Agricultural and Biological Sciences,CH,2021,101
Agricultural and Biological Sciences,CH,2022,102
Agricultural and Biological Sciences,CH,2023,100
Agricultural and Biological Sciences,CH,2024,105
Agricultural and Biological Sciences,CI,2015,1
Agricultural and Biological Sciences,CI,2016,1
Agricultural and Biological Sciences,CI,2017,1
Agricultural and Biological Sciences,CI,2018,1
