field,country,year,n_authors
Agricultural and Biological Sciences,AR,2018,1
Agricultural and Biological Sciences,AR,2019,1
Agricultural and Biological Sciences,AR,2020,2
Agricultural and Biological Sciences,AR,2021,2
Agricultural and Biological Sciences,AR,2022,2
Agricultural and Biological Sciences,AR,2023,2
Agricultural and Biological Sciences,AR,2024,2
Agricultural and Biological Sciences,AT,2015,12
Agricultural and Biological Sciences,AT,2016,13
Agricultural and Biological Sciences,AT,2017,16
Agricultural and Biological Sciences,AT,2018,15
Agricultural and Biological Sciences,AT,2019,14
Agricultural and Biological Sciences,AT,2020,14
Agricultural and Biological Sciences,AT,2021,13
Agricultural and Biological Sciences,AT,2022,12
Agricultural and Biological Sciences,AT,2023,13
Agricultural and Biological Sciences,AT,2024,13
Agricultural and Biological Sciences,AU,2015,70
Agricultural and Biological Sciences,AU,2016,69
Agricultural and Biological Sciences,AU,2017,70
Agricultural and Biological Sciences,AU,2018,72
Agricultural and Biological Sciences,AU,2019,75
Agricultural and Biological Sciences,AU,2020,77
Agricultural and Biological Sciences,AU,2021,80
Agricultural and Biological Sciences,AU,2022,77
Agricultural and Biological Sciences,AU,2023,81
Agricultural and Biological Sciences,AU,2024,85
Agricultural and Biological Sciences,BD,2022,1
Agricultural and Biological Sciences,BD,2023,1
Agricultural and Biological Sciences,BD,2024,1
Agricultural and Biological Sciences,BE,2015,32
Agricultural and Biological Sciences,BE,2016,33
Agricultural and Biological Sciences,BE,2017,34
Agricultural and Biological Sciences,BE,2018,36
Agricultural and Biological Sciences,BE,2019,35
Agricultural and Biological Sciences,BE,2020,34
Agricultural and Biological Sciences,BE,2021,36
Agricultural and Biological Sciences,BE,2022,38
Agricultural and Biological Sciences,BE,2023,38
Agricultural and Biological Sciences,BE,2024,40
Agricultural and Biological Sciences,BG,2020,1
Agricultural and Biological Sciences,BG,2021,1
Agricultural and Biological Sciences,BG,2022,1
Agricultural and Biological Sciences,BG,2023,1
Agricultural and Biological Sciences,BG,2024,2
Agricultural and Biological Sciences,BR,2015,2
