field,year,n_pool,threshold
Agricultural and Biological Sciences,2015,1000,8693
Agricultural and Biological Sciences,2016,1000,9409
Agricultural and Biological Sciences,2017,1000,10144
Agricultural and Biological Sciences,2018,1001,10913
Agricultural and Biological Sciences,2019,1000,11778
Agricultural and Biological Sciences,2020,1000,12827
Agricultural and Biological Sciences,2021,1000,13990
Agricultural and Biological Sciences,2022,1000,15289
Agricultural and Biological Sciences,2023,1000,16562
Agricultural and Biological Sciences,2024,1000,17865
Arts and Humanities,2015,1001,2868
Arts and Humanities,2016,1000,3107
Arts and Humanities,2017,1000,3327
Arts and Humanities,2018,1000,3608
Arts and Humanities,2019,1002,3944
Arts and Humanities,2020,1001,4291
Arts and Humanities,2021,1000,4625
Arts and Humanities,2022,1000,4897
Arts and Humanities,2023,1000,5195
Arts and Humanities,2024,1001,5497
"Biochemistry, Genetics and Molecular Biology",2015,1000,24757
"Biochemistry, Genetics and Molecular Biology",2016,1000,26336
"Biochemistry, Genetics and Molecular Biology",2017,1000,27983
"Biochemistry, Genetics and Molecular Biology",2018,1000,29741
"Biochemistry, Genetics and Molecular Biology",2019,1000,31536
"Biochemistry, Genetics and Molecular Biology",2020,1000,34007
"Biochemistry, Genetics and Molecular Biology",2021,1000,36540
"Biochemistry, Genetics and Molecular Biology",2022,1000,39194
"Biochemistry, Genetics and Molecular Biology",2023,1000,41876
"Biochemistry, Genetics and Molecular Biology",2024,1000,44869
"Business, Management and Accounting",2015,1000,5835
"Business, Management and Accounting",2016,1000,6446
"Business, Management and Accounting",2017,1000,7048
"Business, Management and Accounting",2018,1000,7629
"Business, Management and Accounting",2019,1000,8323
"Business, Management and Accounting",2020,1000,9087
"Business, Management and Accounting",2021,1000,9929
"Business, Management and Accounting",2022,1000,10800
"Business, Management and Accounting",2023,1000,11678
"Business, Management and Accounting",2024,1000,12601
Chemical Engineering,2015,1000,1475
Chemical Engineering,2016,1000,1641
Chemical Engineering,2017,1000,1809
Chemical Engineering,2018,1000,2001
Chemical Engineering,2019,1000,2204
Chemical Engineering,2020,1001,2456
Chemical Engineering,2021,1000,2769
Chemical Engineering,2022,1001,3039
Chemical Engineering,2023,1000,3364
Chemical Engineering,2024,1000,3678
Chemistry,2015,1000,9688
Chemistry,2016,1000,10300
Chemistry,2017,1000,10917
Chemistry,2018,1000,11547
Chemistry,2019,1000,12243
Chemistry,2020,1000,12951
Chemistry,2021,1000,13675
Chemistry,2022,1000,14527
Chemistry,2023,1000,15412
Chemistry,2024,1000,16272
Computer Science,2015,1000,11212
Computer Science,2016,1000,12156
Computer Science,2017,1000,13119
Computer Science,2018,1000,14372
Computer Science,2019,1000,15834
Computer Science,2020,1000,17686
Computer Science,2021,1000,19731
Computer Science,2022,1000,21413
Computer Science,2023,1000,23314
Computer Science,2024,1000,25557
Decision Sciences,2015,1001,2380
Decision Sciences,2016,1001,2624
Decision Sciences,2017,1000,2912
Decision Sciences,2018,1001,3170
Decision Sciences,2019,1000,3478
Decision Sciences,2020,1000,3832
Decision Sciences,2021,1000,4272
Decision Sciences,2022,1000,4701
Decision Sciences,2023,1000,5165
Decision Sciences,2024,1000,5581
Dentistry,2015,1001,2693
Dentistry,2016,1000,2945
Dentistry,2017,1000,3192
Dentistry,2018,1000,3453
Dentistry,2019,1000,3748
Dentistry,2020,1000,4118
Dentistry,2021,1000,4540
Dentistry,2022,1000,4967
Dentistry,2023,1000,5417
Dentistry,2024,1000,5927
Earth and Planetary Sciences,2015,1000,8528
Earth and Planetary Sciences,2016,1000,9223
Earth and Planetary Sciences,2017,1000,9991
Earth and Planetary Sciences,2018,1000,10804
Earth and Planetary Sciences,2019,1000,11637
Earth and Planetary Sciences,2020,1000,12682
Earth and Planetary Sciences,2021,1000,13807
Earth and Planetary Sciences,2022,1000,14951
Earth and Planetary Sciences,2023,1000,16088
Earth and Planetary Sciences,2024,1000,17318
"Economics, Econometrics and Finance",2015,1000,7234
"Economics, Econometrics and Finance",2016,1000,7792
"Economics, Econometrics and Finance",2017,1000,8408
"Economics, Econometrics and Finance",2018,1000,8960
"Economics, Econometrics and Finance",2019,1000,9640
"Economics, Econometrics and Finance",2020,1000,10432
"Economics, Econometrics and Finance",2021,1000,11278
"Economics, Econometrics and Finance",2022,1000,12033
"Economics, Econometrics and Finance",2023,1000,12899
"Economics, Econometrics and Finance",2024,1000,13696
Energy,2015,1001,2398
Energy,2016,1000,2832
Energy,2017,1000,3389
Energy,2018,1000,4003
Energy,2019,1000,4812
Energy,2020,1000,5695
Energy,2021,1000,6851
Energy,2022,1000,8108
Energy,2023,1000,9447
Energy,2024,1000,10896
