Award Name,Tier,Field,stage_code,recipient_bin,age_cap,years_since_phd_cap,student_or_dissertation,recent_work_only,typical_recipient,confidence,events_prior,events_corrected,rule_text,source_url
Fields Medal,1,Mathematics,faculty,faculty,40,,N,N,full professors,high,0.75,0.75,IMU: 'A candidate's 40th birthday must not occur before January 1st of the year of the Congress at which the Fields Medals are awarded'.,https://www.mathunion.org/imu-awards/fields-medal
ICTP Ramanujan Prize,1,Mathematics,faculty,faculty,45,,N,N,full professors (Fall: AIMS Senegal; Liu: Peking; Gupta: ISI Kolkata),medium,1.0,1.0,"Awarded to a researcher who is ""less than 45 years of age on 31 December of the year of the award and has conducted outstanding research in developing countries"".",https://en.wikipedia.org/wiki/ICTP_Ramanujan_Prize
Oswald Veblen Prize in Geometry,1,Mathematics,faculty,faculty,,,N,Y,"full professors (Hill, Hopkins, Ravenel 2022; Feyzbakhsh, Thomas 2025)",medium,1.0,1.0,AMS prize 'in recognition of a notable research memoir in geometry or topology published in the preceding six years'; the nominee must be an AMS member or the memoir published in a recognized North American journal; no age or career-stage cap.,https://www.ams.org/prizes-awards/paview.cgi?parent_id=17
COPSS Presidents' Award,1,Mathematics,faculty,faculty,41,12,N,N,associate and full professors at research universities (one industry chief scientist),high,1.0,1.0,"COPSS: the recipient must be under 41 throughout the award year, or under 46 with a terminal statistically related degree no more than 12 years old.",https://community.amstat.org/copss/awards/presidents
Salem Prize,1,Mathematics,faculty,mixed,,10,N,N,"postdocs, research instructors and junior faculty (Viazovska, Logunov, Peluse, Sahasrabudhe)",high,1.0,0.6,"IAS rules give ""preference to nominees who received their PhD in the last ten years""; no age limit.",https://www.ias.edu/math/salem-prize
Fermat Prize,1,Mathematics,faculty,faculty,,,N,N,"full professors (Miller, Naber 2023; Dimitrov, Vicol 2025)",high,0.75,0.75,"Institut de Mathematiques de Toulouse prize rewarding 'research work in mathematics at the highest international level' in fields where Fermat contributed; no age, career-stage or recency restriction is stated (the separate Junior Fermat Prize is for undergraduates).",https://www.math.univ-toulouse.fr/en/activites/prix-fermat/
Bôcher Memorial Prize,1,Mathematics,faculty,faculty,,,N,Y,full professors,medium,0.33,0.33,AMS: awarded every three years 'for a notable research work in analysis that has appeared during the past six years'; no age or career-stage restriction.,https://en.wikipedia.org/wiki/B%C3%B4cher_Memorial_Prize
Clay Research Award,1,Mathematics,faculty,faculty,,,N,Y,"full professors (Nelson: Aarhus; Newton: Oxford; Thorne: Cambridge; Merle, Raphael, Rodnianski, Szeftel)",high,2.0,2.0,"Recognizes ""major breakthroughs in mathematical research""; each award cites a specific recent result; no age, career-stage or nationality restriction stated.",https://www.claymath.org/clay-research-award/
Max Planck-Humboldt Research Award,1,Multidisciplinary,faculty,faculty,,15,N,N,"full professors abroad (Sorek, Weizmann 2023; Williamson, Sydney 2024)",high,3.0,3.0,"'The nominated individual must have gained her/his doctorate no more than 15 years ago', must have lived and worked outside Germany for more than five years and hold no permanent German post.",https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/max-planck-humboldt-research-award
Rollo Davidson Prize,1,Mathematics,faculty,faculty,,,N,N,"assistant professors (Toronto, NYU, Penn in 2023)",medium,2.0,2.0,Rollo Davidson Trust: 'The Prizes have been awarded annually to young probabilists since 1976'; no numeric age or career-stage limit is published.,https://imstat.org/2023/05/16/rollo-davidson-prizes/
Bigsby Medal,2,Earth Sciences,faculty,faculty,,,N,N,readers and full professors (Schmidt: Bristol; Barker: Cardiff; Annen: Czech Academy senior researcher),high,0.5,1.0,"Recipient must have completed ""no more than 25 years of full-time equivalent research"" (historically under 45 years of age), so as to be ""not too old for further work, and not too young to have done much"".",https://www.geolsoc.org.uk/about-us/society-awards/bigsby-medal/
Berwick Prize,2,Mathematics,faculty,faculty,,15,N,N,"lecturers and associate professors (Keating 2021; Ding, Gwynne 2023)",high,1.0,1.0,LMS prize for 'a definite piece of research actually published by the Society during the eight years ending on 31 December of year X-1' by an author with 'fewer than 15 years (full time equivalent) of involvement in mathematics at post-doctoral level (calculated from the date of award of their PhD)'.,https://www.lms.ac.uk/prizes/lms-prize-regulations
Lieben Prize,2,Multidisciplinary,faculty,faculty,40,,N,N,independent group leaders and assistant/associate professors under 40,high,1.0,1.0,"OeAW: applicants must hold a completed doctorate and be under 40 at application (extended up to four years for childcare), with three years of continuous research in Austria or a partner country.",https://stipendien.oeaw.ac.at/preise/naturwissenschaften/ignaz-l-lieben-preis
Annie Jump Cannon Award in Astronomy,2,Astronomy,postdoc,mixed,,5,N,N,late postdocs and newly appointed assistant professors,high,1.0,1.0,"For ""outstanding research and promise for future research by a female researcher within five years after earning her PhD"".",https://aas.org/grants-and-prizes/annie-jump-cannon-award-astronomy
IMU Abacus Medal,2,Computer Science and Engineering,faculty,faculty,40,,N,N,"full professors (Braverman, Princeton 2022; Oveis Gharan, U Washington 2026)",high,0.25,0.25,'A candidate's 40th birthday must not occur before January 1st of the year of the Congress at which the Medal is awarded.',https://www.mathunion.org/imu-awards/imu-abacus-medal
IJCAI Computers and Thought Award,2,Computer Science and Engineering,postdoc,faculty,,7,N,N,assistant professors (one industrial research staff member),high,0.5,1.0,"IJCAI: 'Nominees for the IJCAI Computers and Thought Award should have received their PhD within the last 7 years at the date of the IJCAI conference', extendable for parenting leave, national service or other exceptional circumstances.",https://www.ijcai.org/sites/default/files/Call_for_Award_Nominations_2025.pdf
Walter L. Huber Civil Engineering Research Prize,2,Computer Science and Engineering,faculty,faculty,40,,N,N,associate professors (a few full professors),high,3.0,4.8,"ASCE ""mid-career research award""; preference to members ""generally under 40 years of age"".",https://www.asce.org/career-growth/awards-and-honors/walter-l-huber-civil-engineering-research-prizes
J. H. Wilkinson Prize for Numerical Software,2,Computer Science and Engineering,faculty,faculty,,12,N,N,"research scientists and junior faculty (Van Zee, UT Austin and Matthews, SMU 2023; Julia founders 2019)",high,0.25,0.25,"'Candidates must have worked in mathematics or science for at most 12 years (full time equivalent) after receiving their PhD as of January 1 of the award year', allowing for breaks in continuity; the committee may make exceptions for candidates at an equivalent career stage.",https://www.siam.org/programs-initiatives/prizes-awards/major-prizes-lectures/james-h-wilkinson-prize-for-numerical-software/
Ruth Lyttle Satter Prize in Mathematics,2,Mathematics,faculty,faculty,,,N,Y,full professors,medium,1.0,1.0,AMS: for 'an outstanding contribution to mathematics research by a woman in the previous six years'; no age or career-stage restriction.,https://en.wikipedia.org/wiki/Ruth_Lyttle_Satter_Prize_in_Mathematics
Loève Prize,2,Mathematics,faculty,faculty,45,,N,N,full professors (Miller: Cambridge; Ding: Peking; Corwin: Columbia),high,0.5,0.5,"Recognizes ""outstanding contributions by researchers in probability who are under 45 years old"".",https://statistics.berkeley.edu/about/loeve-prize
Sloan Research Fellowship*,2,Multidisciplinary,postdoc,faculty,,,N,N,tenure-track assistant professors,high,126.0,126.0,"Candidates 'must be tenure-track, though untenured, as of September 15' of the nomination year, hold a PhD and a faculty post with a regular teaching obligation at a US or Canadian institution; no years-since-PhD cap in the current rules (the bulk pilot report records a six-year post-PhD cap for earlier cohorts).",https://sloan.org/fellowships/
Peccot Lectures,2,Mathematics,postdoc,mixed,30,,N,N,"CNRS chargés de recherche and maîtres de conférences, some postdocs (2-6 years past PhD)",high,1.0,2.1,Collège de France: the Peccot lectures are entrusted to mathematicians under 30 years of age.,https://www.college-de-france.fr/en/award/claude-antoine-peccot-lecture-series-and-award
Overton Prize,2,Life Sciences and Medicine,faculty,faculty,,,N,N,"assistant to full professors and group leaders (Marks, Bock, Dessimoz, Engelhardt, Li)",high,1.0,1.0,"ISCB awards it to ""early or mid-career phase scientists"" for outstanding accomplishment in computational biology; no age or years-since-PhD cap.",https://www.iscb.org/iscb-awards/overton-prize
Machtey Award,2,Computer Science and Engineering,student,student,,,Y,N,"PhD students (Ilango, MIT 2023; Huang, MIT 2024)",medium,1.0,1.0,"Best student paper award at IEEE FOCS, given 'to the author(s) of the best student paper(s)'; a paper qualifies when 'all authors are full-time students at the date of the submission'.",https://en.wikipedia.org/wiki/Machtey_Award
Michael Brin Prize in Dynamical Systems,2,Mathematics,faculty,faculty,,14,N,N,associate and full professors,medium,0.5,0.5,Awarded to mathematicians who 'have made outstanding advances in the field of dynamical systems and are within 14 years of their PhD' (a separate Brin Prize for Young Mathematicians covers researchers within 4 years of the PhD).,https://math.psu.edu/dynsys/Brinprize
Fernand Holweck Medal and Prize,2,Physics,faculty,faculty,,,N,Y,full professors and CNRS research directors (Norreys: Oxford; Triaud: Birmingham; Claudin and Andreotti: CNRS/ESPCI),medium,1.0,1.0,"IOP/SFP bilateral award ""for distinguished work in any aspect of physics that is ongoing or has been carried out within the 10 years preceding the award""; no age or career-stage restriction.",https://www.iop.org/about/awards/international-bilateral-awards/fernand-holweck-medal-and-prize-recipients
Yrjö Jahnsson Award,2,Social Sciences,faculty,faculty,45,,N,N,"full professors (LSE, UCL, Mannheim, KU Leuven)",high,0.75,0.9,'A European economist under 45 who has made a contribution in theoretical and applied research significant to economics in Europe.',https://www.yjs.fi/en/seminars-and-awards/
Troland Research Awards,2,Psychology,faculty,faculty,45,,N,N,tenure-track and newly tenured professors at R1 universities,high,2.0,2.0,"NAS: for 'early-career researchers (preferably 45 years of age or younger)' in experimental psychology; the age cap is a preference, not a hard rule.",https://www.nasonline.org/award/troland-research-award/
Leslie Fox Prize for Numerical Analysis,2,Mathematics,postdoc,student,31,,N,N,PhD students and postdocs (Cortinovis: Stanford; Weber: Harvard; Roberts: ANU),high,1.0,1.0,"Open to ""any person who is less than 31 years old"" on 1 January of the prize year (career breaks may be allowed for).",https://ima.org.uk/awards-medals/ima-leslie-fox-prize-numerical-analysis/
