subfield_id,subfield_name,finest_group,broad_area
subfields/2600,General Mathematics,Mathematics,Math & Phys. sci
subfields/2602,Algebra and Number Theory,Mathematics,Math & Phys. sci
subfields/2604,Applied Mathematics,Mathematics,Math & Phys. sci
subfields/2605,Computational Mathematics,Mathematics,Math & Phys. sci
subfields/2607,Discrete Mathematics and Combinatorics,Mathematics,Math & Phys. sci
subfields/2608,Geometry and Topology,Mathematics,Math & Phys. sci
subfields/2610,Mathematical Physics,Mathematics,Math & Phys. sci
subfields/2611,Modeling and Simulation,Mathematics,Math & Phys. sci
subfields/2612,Numerical Analysis,Mathematics,Math & Phys. sci
subfields/2613,Statistics and Probability,Mathematics,Math & Phys. sci
subfields/2614,Theoretical Computer Science,Mathematics,Math & Phys. sci
subfields/1504,Chemical Health and Safety,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1506,Filtration and Separation,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1508,Process Chemistry and Technology,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1600,General Chemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1602,Analytical Chemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1603,Electrochemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1604,Inorganic Chemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1605,Organic Chemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1606,Physical and Theoretical Chemistry,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/1607,Spectroscopy,Chemistry & Chemical Eng.,Math & Phys. sci
subfields/3100,General Physics and Astronomy,Physics & Astronomy,Math & Phys. sci
subfields/3102,Acoustics and Ultrasonics,Physics & Astronomy,Math & Phys. sci
subfields/3103,Astronomy and Astrophysics,Physics & Astronomy,Math & Phys. sci
subfields/3104,Condensed Matter Physics,Physics & Astronomy,Math & Phys. sci
subfields/3105,Instrumentation,Physics & Astronomy,Math & Phys. sci
subfields/3106,Nuclear and High Energy Physics,Physics & Astronomy,Math & Phys. sci
subfields/3107,"Atomic and Molecular Physics, and Optics",Physics & Astronomy,Math & Phys. sci
subfields/3108,Radiation,Physics & Astronomy,Math & Phys. sci
subfields/3109,Statistical and Nonlinear Physics,Physics & Astronomy,Math & Phys. sci
subfields/1700,General Computer Science,Computer Science,Applied sci
subfields/1702,Artificial Intelligence,Computer Science,Applied sci
subfields/1703,Computational Theory and Mathematics,Computer Science,Applied sci
subfields/1704,Computer Graphics and Computer-Aided Design,Computer Science,Applied sci
subfields/1705,Computer Networks and Communications,Computer Science,Applied sci
subfields/1706,Computer Science Applications,Computer Science,Applied sci
subfields/1707,Computer Vision and Pattern Recognition,Computer Science,Applied sci
subfields/1708,Hardware and Architecture,Computer Science,Applied sci
subfields/1709,Human-Computer Interaction,Computer Science,Applied sci
subfields/1710,Information Systems,Computer Science,Applied sci
subfields/1712,Software,Computer Science,Applied sci
subfields/1711,Signal Processing,Computer & Electrical Eng.,Applied sci
subfields/2208,Electrical and Electronic Engineering,Computer & Electrical Eng.,Applied sci
subfields/2214,Media Technology,Computer & Electrical Eng.,Applied sci
subfields/2203,Automotive Engineering,Mechanical & Aerospace Eng.,Applied sci
subfields/2206,Computational Mechanics,Mechanical & Aerospace Eng.,Applied sci
subfields/2210,Mechanical Engineering,Mechanical & Aerospace Eng.,Applied sci
subfields/2205,Civil and Structural Engineering,Civil & Env. Eng.,Applied sci
subfields/2212,Ocean Engineering,Civil & Env. Eng.,Applied sci
subfields/2215,Building and Construction,Civil & Env. Eng.,Applied sci
subfields/3313,Transportation,Civil & Env. Eng.,Applied sci
subfields/1502,Bioengineering,Biomedical Eng.,Applied sci
