"layer","count","x","xmin","xmax","density","ncount","ndensity","flipped_aes","PANEL","group","y","ymin","ymax","colour","fill","linewidth","linetype","alpha","width"
1,34.5833333333333,0,-0.05,0.05,2.16597077244259,1,1,"FALSE","1",-1,34.5833333333333,0,34.5833333333333,"black","blue",0.5,1,0.5,0.9
1,31,0.1,0.05,0.15,1.94154488517745,0.896385542168675,0.896385542168675,"FALSE","1",-1,31,0,31,"black","blue",0.5,1,0.5,0.9
1,24.25,0.2,0.15,0.25,1.5187891440501,0.701204819277108,0.701204819277108,"FALSE","1",-1,24.25,0,24.25,"black","blue",0.5,1,0.5,0.9
1,15.5,0.3,0.25,0.35,0.970772442588727,0.448192771084337,0.448192771084337,"FALSE","1",-1,15.5,0,15.5,"black","blue",0.5,1,0.5,0.9
1,7.5,0.4,0.35,0.45,0.46972860125261,0.216867469879518,0.216867469879518,"FALSE","1",-1,7.5,0,7.5,"black","blue",0.5,1,0.5,0.9
1,8.5,0.5,0.45,0.55,0.532359081419624,0.24578313253012,0.24578313253012,"FALSE","1",-1,8.5,0,8.5,"black","blue",0.5,1,0.5,0.9
1,6.33333333333333,0.6,0.55,0.65,0.396659707724426,0.183132530120482,0.183132530120482,"FALSE","1",-1,6.33333333333333,0,6.33333333333333,"black","blue",0.5,1,0.5,0.9
1,15.5,0.7,0.65,0.75,0.970772442588727,0.448192771084337,0.448192771084337,"FALSE","1",-1,15.5,0,15.5,"black","blue",0.5,1,0.5,0.9
1,4,0.8,0.75,0.85,0.250521920668059,0.11566265060241,0.11566265060241,"FALSE","1",-1,4,0,4,"black","blue",0.5,1,0.5,0.9
1,0,0.9,0.85,0.95,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,1,0.95,1.05,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0.5,1.1,1.05,1.15,0.0313152400835073,0.0144578313253012,0.0144578313253012,"FALSE","1",-1,0.5,0,0.5,"black","blue",0.5,1,0.5,0.9
1,0,1.2,1.15,1.25,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,1.3,1.25,1.35,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,1,1.4,1.35,1.45,0.0626304801670147,0.0289156626506024,0.0289156626506025,"FALSE","1",-1,1,0,1,"black","blue",0.5,1,0.5,0.9
1,6,1.5,1.45,1.55,0.375782881002087,0.173493975903614,0.173493975903614,"FALSE","1",-1,6,0,6,"black","blue",0.5,1,0.5,0.9
1,0,1.6,1.55,1.65,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,1,1.7,1.65,1.75,0.0626304801670147,0.0289156626506024,0.0289156626506025,"FALSE","1",-1,1,0,1,"black","blue",0.5,1,0.5,0.9
1,0,1.8,1.75,1.85,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,1.9,1.85,1.95,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,1,2,1.95,2.05,0.0626304801670144,0.0289156626506024,0.0289156626506023,"FALSE","1",-1,1,0,1,"black","blue",0.5,1,0.5,0.9
1,0,2.1,2.05,2.15,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.2,2.15,2.25,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.3,2.25,2.35,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.4,2.35,2.45,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.5,2.45,2.55,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.6,2.55,2.65,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.7,2.65,2.75,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.8,2.75,2.85,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,0,2.9,2.85,2.95,0,0,0,"FALSE","1",-1,0,0,0,"black","blue",0.5,1,0.5,0.9
1,3,3,2.95,3.05,0.187891440501044,0.0867469879518072,0.0867469879518072,"FALSE","1",-1,3,0,3,"black","blue",0.5,1,0.5,0.9
