"layer","xmin","xmax","ymin","ymax","fill","PANEL","group","colour","linewidth","linetype","alpha","x","y","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","yintercept"
1,0,5.09784160577811,0,11.5733113673806,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,5.09784160577811,7.37801293356849,0,10.9576427255985,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,7.37801293356849,12.5409423028471,0,9.96339975599837,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,12.5409423028471,13.8825900730663,0,5.4773082942097,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,13.8825900730663,16.1753590325019,0,4.94505494505495,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,16.1753590325019,20.7252036617116,0,4.56852791878173,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,20.7252036617116,21.968169984043,0,4.22297297297297,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,21.968169984043,24.6766607877719,0,4.18604651162791,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,24.6766607877719,27.0240194843369,0,2.77280858676208,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,27.0240194843369,32.665658856135,0,2.71678451804987,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,32.665658856135,43.2686654908877,0,2.11881188118812,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,43.2686654908877,54.6170319979844,0,1.88714153561517,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,54.6170319979844,59.0807928109515,0,1.78739416745061,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,59.0807928109515,62.1819098009574,0,1.7603249830738,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,62.1819098009574,67.7521625934324,0,1.54542027892951,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,67.7521625934324,70.3472747123541,0,1.45631067961165,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,70.3472747123541,71.1640211640212,0,1.2853470437018,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,71.1640211640212,73.8977072310406,0,1.15207373271889,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,73.8977072310406,78.5987234399933,0,0.937918713711478,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,78.5987234399933,81.4709834551104,0,0.87719298245614,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,81.4709834551104,84.488116234148,0,0.069589422407794,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,84.488116234148,88.5382548080961,0,0.0518403317781234,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,88.5382548080961,96.7246157722348,0,0.0512952038984355,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,96.7246157722348,100,0,0,"#E7298A","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,0,11.5733113673806,5.09784160577811,11.5733113673806,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,5.09784160577811,10.9576427255985,7.37801293356849,10.9576427255985,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,7.37801293356849,9.96339975599837,12.5409423028471,9.96339975599837,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,12.5409423028471,5.4773082942097,13.8825900730663,5.4773082942097,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,13.8825900730663,4.94505494505495,16.1753590325019,4.94505494505495,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,16.1753590325019,4.56852791878173,20.7252036617116,4.56852791878173,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,20.7252036617116,4.22297297297297,21.968169984043,4.22297297297297,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,21.968169984043,4.18604651162791,24.6766607877719,4.18604651162791,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,24.6766607877719,2.77280858676208,27.0240194843369,2.77280858676208,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,27.0240194843369,2.71678451804987,32.665658856135,2.71678451804987,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,32.665658856135,2.11881188118812,43.2686654908877,2.11881188118812,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,43.2686654908877,1.88714153561517,54.6170319979844,1.88714153561517,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,54.6170319979844,1.78739416745061,59.0807928109515,1.78739416745061,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,59.0807928109515,1.7603249830738,62.1819098009574,1.7603249830738,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,62.1819098009574,1.54542027892951,67.7521625934324,1.54542027892951,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,67.7521625934324,1.45631067961165,70.3472747123541,1.45631067961165,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,70.3472747123541,1.2853470437018,71.1640211640212,1.2853470437018,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,71.1640211640212,1.15207373271889,73.8977072310406,1.15207373271889,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,73.8977072310406,0.937918713711478,78.5987234399933,0.937918713711478,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,78.5987234399933,0.87719298245614,81.4709834551104,0.87719298245614,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,81.4709834551104,0.069589422407794,84.488116234148,0.069589422407794,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,84.488116234148,0.0518403317781234,88.5382548080961,0.0518403317781234,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,88.5382548080961,0.0512952038984355,96.7246157722348,0.0512952038984355,,,,,,,,,,,
2,,,,,,"1",4,"#E7298A",0.8,"1",,96.7246157722348,0,100,0,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,0,0,0,11.5733113673806,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,5.09784160577811,0,5.09784160577811,10.9576427255985,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,7.37801293356849,0,7.37801293356849,9.96339975599837,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,12.5409423028471,0,12.5409423028471,5.4773082942097,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,13.8825900730663,0,13.8825900730663,4.94505494505495,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,16.1753590325019,0,16.1753590325019,4.56852791878173,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,20.7252036617116,0,20.7252036617116,4.22297297297297,,,,,,,,,,,
3,,,,,,"1",4,"#E7298A",0.4,"1",,21.968169984043,0,21.968169984043,4.18604651162791,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,24.6766607877719,0,24.6766607877719,2.77280858676208,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,27.0240194843369,0,27.0240194843369,2.71678451804987,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,32.665658856135,0,32.665658856135,2.11881188118812,,,,,,,,,,,
3,,,,,,"1",3,"#1A237E",0.4,"1",,43.2686654908877,0,43.2686654908877,1.88714153561517,,,,,,,,,,,
3,,,,,,"1",4,"#E7298A",0.4,"1",,54.6170319979844,0,54.6170319979844,1.78739416745061,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,59.0807928109515,0,59.0807928109515,1.7603249830738,,,,,,,,,,,
3,,,,,,"1",1,"#8B4577",0.4,"1",,62.1819098009574,0,62.1819098009574,1.54542027892951,,,,,,,,,,,
3,,,,,,"1",2,"#00A5A5",0.4,"1",,67.7521625934324,0,67.7521625934324,1.45631067961165,,,,,,,,,,,
3,,,,,,"1",4,"#E7298A",0.4,"1",,70.3472747123541,0,70.3472747123541,1.2853470437018,,,,,,,,,,,
