"layer","xmin","xmax","ymin","ymax","fill","PANEL","group","colour","linewidth","linetype","alpha","x","y","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","yintercept"
1,0,5.53355588810867,0,1.70584564177242,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,5.53355588810867,6.76297916426845,0,1.12359550561798,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,6.76297916426845,10.2670657304018,0,1.11695137976347,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,10.2670657304018,21.5356279498101,0,0.827459393196445,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,21.5356279498101,25.3793024058939,0,0.688828990715783,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,25.3793024058939,31.5413836767584,0,0.541752288436391,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,31.5413836767584,36.6904570047197,0,0.514196288844176,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,36.6904570047197,44.9890641187982,0,0.471632681370509,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,44.9890641187982,48.5783354437665,0,0.449005772931366,"gray50","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,48.5783354437665,52.1445838609416,0,0.387346675274371,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,52.1445838609416,54.5193967998158,0,0.339311682016481,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,54.5193967998158,57.4559686888454,0,0.313602508820071,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,57.4559686888454,58.9478531138483,0,0.308641975308642,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,58.9478531138483,63.4626453321054,0,0.305966343702193,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,63.4626453321054,65.2630367215379,0,0.127877237851662,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,65.2630367215379,67.0979624726603,0,0.125470514429109,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,67.0979624726603,70.1968458616323,0,0.037147102526003,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,70.1968458616323,81.4711638079889,0,0.0306309985705534,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,81.4711638079889,86.4820996891907,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,86.4820996891907,89.8043052837573,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,89.8043052837573,92.8571428571429,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,92.8571428571429,95.525497870381,0,0,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,95.525497870381,97.276390008058,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,97.276390008058,98.5288361920111,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,98.5288361920111,99.4543570852999,0,0,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,99.4543570852999,100,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,0,1.70584564177242,5.53355588810867,1.70584564177242,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,5.53355588810867,1.12359550561798,6.76297916426845,1.12359550561798,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,6.76297916426845,1.11695137976347,10.2670657304018,1.11695137976347,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,10.2670657304018,0.827459393196445,21.5356279498101,0.827459393196445,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,21.5356279498101,0.688828990715783,25.3793024058939,0.688828990715783,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,25.3793024058939,0.541752288436391,31.5413836767584,0.541752288436391,,,,,,,,,,,
2,,,,,,"1",5,"#E7298A",0.8,"1",,31.5413836767584,0.514196288844176,36.6904570047197,0.514196288844176,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,36.6904570047197,0.471632681370509,44.9890641187982,0.471632681370509,,,,,,,,,,,
