"layer","xmin","xmax","ymin","ymax","fill","PANEL","group","colour","linewidth","linetype","alpha","x","y","xend","yend","label","nudge_x","nudge_y","family","size","angle","hjust","vjust","fontface","lineheight","yintercept"
1,0,5.53355588810867,0,5.09673392968588,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,5.53355588810867,6.76297916426845,0,5.0561797752809,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,6.76297916426845,10.2670657304018,0,3.25229960578187,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,10.2670657304018,14.1107401864856,0,3.05480682839173,"#1A237E","1",3,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,14.1107401864856,18.6255324047427,0,3.03416624171341,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,18.6255324047427,29.894094624151,0,2.87056900602717,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,29.894094624151,31.3859790491539,0,2.70061728395062,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,31.3859790491539,32.6384252331069,0,2.29779411764706,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,32.6384252331069,34.4388166225394,0,1.98209718670077,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,34.4388166225394,37.9762864049729,0,1.75724048161406,"gray50","1",4,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,37.9762864049729,40.9128582940025,0,1.60721285770286,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,40.9128582940025,49.211465408081,0,1.4842557913719,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,49.211465408081,55.3735466789456,0,1.36372127778816,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,55.3735466789456,60.5226200069069,0,1.20724346076459,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,60.5226200069069,62.3575457580292,0,0.941028858218319,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,62.3575457580292,64.7323586969034,0,0.872515753756665,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,64.7323586969034,68.2986071140785,0,0.839251129761136,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,68.2986071140785,70.0494992517555,0,0.788954635108481,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,70.0494992517555,73.1483826407275,0,0.780089153046062,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,73.1483826407275,84.4227005870842,0,0.387992648560343,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,84.4227005870842,84.9683435017843,0,0.210970464135021,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,84.9683435017843,88.0211810751698,0,0.188536953242836,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,88.0211810751698,88.9985035109934,0,0.117785630153121,"#8B4577","1",1,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,88.9985035109934,94.0094393921952,0,0.0459453250631748,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,94.0094393921952,97.3316449867618,0,0,"#E7298A","1",5,,0.5,"1","0.4",,,,,,,,,,,,,,,
1,97.3316449867618,100,0,0,"#00A5A5","1",2,,0.5,"1","0.4",,,,,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,0,5.09673392968588,5.53355588810867,5.09673392968588,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,5.53355588810867,5.0561797752809,6.76297916426845,5.0561797752809,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,6.76297916426845,3.25229960578187,10.2670657304018,3.25229960578187,,,,,,,,,,,
2,,,,,,"1",3,"#1A237E",0.8,"1",,10.2670657304018,3.05480682839173,14.1107401864856,3.05480682839173,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,14.1107401864856,3.03416624171341,18.6255324047427,3.03416624171341,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,18.6255324047427,2.87056900602717,29.894094624151,2.87056900602717,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,29.894094624151,2.70061728395062,31.3859790491539,2.70061728395062,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,31.3859790491539,2.29779411764706,32.6384252331069,2.29779411764706,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,32.6384252331069,1.98209718670077,34.4388166225394,1.98209718670077,,,,,,,,,,,
2,,,,,,"1",4,"gray50",0.8,"1",,34.4388166225394,1.75724048161406,37.9762864049729,1.75724048161406,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,37.9762864049729,1.60721285770286,40.9128582940025,1.60721285770286,,,,,,,,,,,
2,,,,,,"1",2,"#00A5A5",0.8,"1",,40.9128582940025,1.4842557913719,49.211465408081,1.4842557913719,,,,,,,,,,,
2,,,,,,"1",1,"#8B4577",0.8,"1",,49.211465408081,1.36372127778816,55.3735466789456,1.36372127778816,,,,,,,,,,,
