"layer","intercept","slope","PANEL","group","colour","linewidth","linetype","alpha","size","x","y","shape","fill","stroke","label","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","bg.colour","bg.r","segment.colour"
1,0,1,"1",-1,"grey50",0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.1345,0.9,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.119444444444444,0.777777777777778,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.46529195009785,0.108421052631579,0.736842105263158,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.19523539268061,0.03225,0.625,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.0976176963403,0.0315,0.5,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.039,0.5,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.043,0.5,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.544111111111111,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.548,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.0976176963403,0.567,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.1082,0.5,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.632666666666667,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.676108225108225,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.105285714285714,0.428571428571429,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.682888888888889,1,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.13809303146605,0.56025,0.833333333333333,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.4321,0.7,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.93295878967653,0.684875,0.9375,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.622568231768232,0.85,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.672666666666667,0.888888888888889,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.0126637806637807,0.222222222222222,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.11555394056826,0.737705882352941,0.941176470588235,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.0428888888888889,0.222222222222222,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.7356,0.9,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.7369,0.9,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.63318042491699,0.00933333333333333,0.166666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.576333333333333,0.733333333333333,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.5451,0.7,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.56306816047561,0.0388461538461538,0.192307692307692,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.29285308902091,0.0751666666666667,0.222222222222222,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.34789678284837,0.021302774148928,0.153846153846154,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0118666666666667,0.133333333333333,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.545888888888889,0.666666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",8.64869932417586,0.676264705882353,0.794117647058823,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.487050549450549,0.6,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0279333333333333,0.133333333333333,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.29285308902091,0.678111111111111,0.777777777777778,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",11,0.683381818181818,0.781818181818182,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",10.3826778819339,0.0296122448979592,0.122448979591837,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.95701085237044,0.683909090909091,0.772727272727273,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.0565714285714286,0.142857142857143,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.66425,0.75,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",8.52056336165632,0.0087871522416977,0.0909090909090909,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.0755714285714286,0.142857142857143,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.29285308902091,0.657277777777778,0.722222222222222,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.654285714285714,0.714285714285714,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.13809303146605,0.0247478354978355,0.0833333333333333,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0116642690642691,0.0666666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.146,0.2,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.46529195009785,0.685210526315789,0.736842105263158,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.70713954719908,0.0244444444444444,0.0740740740740741,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.4522,0.5,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.3166247903554,0.7568,0.8,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.93295878967653,0.0273056318681319,0.0625,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.26636084983398,0.00904166666666667,0.0416666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.34789678284837,0.045,0.0769230769230769,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.568927672327672,0.6,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.41619848709566,0.01184,0.04,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.1133676975115,0.0161739130434783,0.0434782608695652,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.95701085237044,0.0235875034056852,0.0454545454545455,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",7.41619848709566,0.01816,0.04,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",8.52056336165632,0.686090909090909,0.696969696969697,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",9.49736805646701,0.0184532833896059,0.024390243902439,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.13809303146605,0.168457126207126,0.166666666666667,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.11555394056826,0.00205882352941176,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.79705818718657,0.0029047619047619,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.003,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0052,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.34789678284837,0.00530684699915469,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.00753173493173493,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.69041575982343,0.0075992007992008,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.3166247903554,0.0095962037962038,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.00966666666666667,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.92428337406972,0.0111428571428571,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.56904651573303,0.012,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.74456264653803,0.0121333333333333,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.29285308902091,0.0122777777777778,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.93295878967653,0.0748125,0.0625,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.0127,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",8.52056336165632,0.0127272727272727,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.6332495807108,0.0129486013986014,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.63318042491699,0.0185,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0205,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0235,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.79705818718657,0.0243809523809524,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.54977477020464,0.0245,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.4497190922574,0.0248888888888889,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.96647939483827,0.0255,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.11555394056826,0.0260588235294118,0,21,"steelblue4",0.3,,,,,,,,,,,,,,,,,,,,,
