"layer","intercept","slope","PANEL","group","colour","linewidth","linetype","alpha","size","x","y","shape","fill","stroke","label","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","bg.colour","bg.r","segment.colour"
1,0,1,"1",-1,"grey50",0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",11,0.650780760640633,0.768577494692144,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.64538672603206,0.119601018029589,0.428571428571429,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.64538672603206,0.0303445958803102,0.226190476190476,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.75892427128858,0.0835636363636364,0.309090909090909,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.64538672603206,0.0173998168925457,0.0952380952380952,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",4.88791568515895,0.0153540652895492,0.0752688172043011,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",3.99096644479529,0.0328387096774194,0.112903225806452,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",2.9116502204711,0.0087871522416977,0.0909090909090909,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",6.31027201542888,0.0193091553607683,0.032258064516129,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",5.26737343748631,0.0128696766196766,0.0277777777777778,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",1.24153182556282,0.00933333333333333,0.166666666666667,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
2,,,"1",-1,"white",,,"0.75",1.34100763838226,0.0565714285714286,0.142857142857143,21,"firebrick",0.3,,,,,,,,,,,,,,,,,,,,,
