"layer","x","y","flipped_aes","PANEL","group","colour","fill","linewidth","linetype","weight","alpha","shape","size","stroke","label","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha"
1,141,1.33180347957933,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,141.924050632911,1.34763164956466,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,142.848101265823,1.36345981954998,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,143.772151898734,1.3792879895353,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,144.696202531646,1.39511615952063,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,145.620253164557,1.41094432950595,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,146.544303797468,1.42677249949128,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,147.46835443038,1.4426006694766,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,148.392405063291,1.45842883946193,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,149.316455696203,1.47425700944725,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,150.240506329114,1.49008517943258,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,151.164556962025,1.5059133494179,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,152.088607594937,1.52174151940323,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,153.012658227848,1.53756968938855,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
1,153.936708860759,1.55339785937388,"FALSE","1",-1,"#CBC3E3","#999999FF",0.5,1,1,"0.4",,,,,,,,,,,,,,,,,,,,,,,
