"layer","x","y","fill","PANEL","group","align_padding","flipped_aes","ymin","ymax","xmin","xmax","colour","linewidth","linetype","alpha"
1,1899.875,0,"#377eb8","1",1,"TRUE","FALSE",0,0,1899.875,1899.875,"white",0.15,1,0.95
1,1900,1,"#377eb8","1",1,"FALSE","FALSE",0.285714285714286,1,1900,1900,"white",0.15,1,0.95
1,1900.125,1,"#377eb8","1",1,"FALSE","FALSE",0.275,1,1900.125,1900.125,"white",0.15,1,0.95
1,1900.875,1,"#377eb8","1",1,"FALSE","FALSE",0.210714285714286,1,1900.875,1900.875,"white",0.15,1,0.95
1,1901,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1901,1901,"white",0.15,1,0.95
1,1901.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1901.125,1901.125,"white",0.15,1,0.95
1,1901.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1901.875,1901.875,"white",0.15,1,0.95
1,1902,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1902,1902,"white",0.15,1,0.95
1,1902.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1902.125,1902.125,"white",0.15,1,0.95
1,1902.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1902.875,1902.875,"white",0.15,1,0.95
1,1903,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1903,1903,"white",0.15,1,0.95
1,1903.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1903.125,1903.125,"white",0.15,1,0.95
1,1903.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1903.875,1903.875,"white",0.15,1,0.95
1,1904,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1904,1904,"white",0.15,1,0.95
1,1904.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1904.125,1904.125,"white",0.15,1,0.95
1,1904.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1904.875,1904.875,"white",0.15,1,0.95
1,1905,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1905,1905,"white",0.15,1,0.95
1,1905.125,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1905.125,1905.125,"white",0.15,1,0.95
1,1905.875,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1905.875,1905.875,"white",0.15,1,0.95
1,1906,1,"#377eb8","1",1,"FALSE","FALSE",0.2,1,1906,1906,"white",0.15,1,0.95
