"layer","x","y","PANEL","group","shape","colour","fill","size","alpha","stroke","flipped_aes","linewidth","linetype","weight","label","order","xmin","xmax","ymax","angle","family","fontface","lineheight","hjust","vjust","point.size","segment.linetype","segment.size","segment.curvature","segment.angle","segment.ncp","segment.shape","segment.square","segment.squareShape","segment.inflect","segment.debug","segment.colour","segment.alpha","xend","yend","nudge_x","nudge_y","yintercept"
1,1731,0.46,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.64,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.47,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.58,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.39,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.37,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1824,0.5,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1869,0.51,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1887,0.48,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1898,0.58,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1901,1,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1901,1,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1901,1,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1917,0.68,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1925,0.54,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1936,0.95,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1946,0.6,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1952,0.44,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1957,0.59,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1959,0.6,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1960,0.72,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1960,0.62,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1961,0.47,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1964,0.41,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1966,0.82,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1967,0.43,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1969,1,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1970,0.49,"1",-1,21,"black","blue",2,"0.5",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
